gender,race/ethnicity,parental level of education,lunch,test preparation course,math score
1,3,5,1,1,78
1,2,3,1,0,52
0,2,4,0,0,45
0,3,2,1,0,35
0,5,3,1,1,89
0,4,1,1,0,82
1,2,2,1,0,64
0,4,4,0,0,66
1,4,1,0,1,60
1,3,2,0,1,60
0,2,2,1,1,87
1,5,4,1,0,100
1,1,2,1,0,91
1,3,2,1,0,84
0,4,4,1,0,64
0,4,1,1,0,54
1,3,2,0,0,62
0,1,1,1,0,60
0,4,0,1,1,64
1,3,1,1,1,93
1,3,4,1,0,86
1,4,1,1,0,80
0,4,1,0,0,44
1,2,0,1,0,59
0,2,2,1,0,69
1,4,1,1,1,94
1,4,0,1,0,70
1,3,1,1,0,70
1,2,0,1,1,69
0,1,2,1,0,70
0,4,2,0,1,50
0,4,2,1,1,60
1,3,2,1,1,77
0,3,3,1,1,67
0,2,4,0,0,46
1,3,2,0,0,70
0,2,0,1,0,52
1,4,0,1,0,85
1,3,1,0,0,68
0,3,5,1,1,88
0,5,0,1,1,94
1,2,4,0,1,74
0,3,2,1,0,51
0,5,2,1,0,96
0,5,5,1,1,79
0,4,0,1,0,61
0,4,4,0,0,49
0,5,2,1,1,84
0,3,0,0,0,57
0,4,2,1,0,55
1,3,1,0,0,56
0,2,2,1,1,61
1,5,1,0,0,58
0,3,5,0,0,64
0,2,1,1,0,71
1,2,2,0,0,50
0,5,5,1,0,85
0,2,2,1,1,72
0,4,1,0,1,54
1,3,1,1,0,82
1,3,0,1,0,77
1,4,3,1,0,54
1,2,3,1,0,83
1,1,2,1,0,66
0,3,3,1,1,61
1,5,0,1,1,57
0,5,1,1,1,83
1,4,2,1,1,77
1,3,3,0,0,61
0,2,0,1,0,80
0,3,3,1,0,81
0,3,2,0,1,49
0,1,4,1,1,68
0,3,4,1,1,87
1,3,3,1,0,87
0,5,2,1,1,81
1,4,0,0,1,59
0,5,1,0,0,62
0,3,0,0,0,51
1,5,0,1,0,87
1,4,0,1,0,67
0,4,2,0,1,64
0,3,2,1,1,55
1,3,3,1,1,82
0,5,0,1,0,71
0,4,3,0,0,70
0,3,2,0,1,56
0,4,1,1,1,84
0,3,4,1,1,66
1,5,4,0,0,83
0,5,0,1,0,67
1,2,4,1,1,91
0,2,5,0,0,80
1,3,0,0,0,53
0,2,1,1,0,55
0,4,3,1,0,53
0,4,5,0,0,67
0,3,5,1,0,76
1,3,1,0,0,42
1,4,0,1,0,54
1,5,0,1,1,74
0,3,2,0,1,62
1,4,3,1,0,79
0,5,1,1,0,74
0,3,5,0,0,69
0,2,0,1,0,65
0,3,2,1,1,72
0,2,5,0,0,68
1,2,1,1,0,66
0,4,1,1,1,81
0,2,0,1,0,72
1,5,1,0,0,74
0,1,0,1,1,50
0,1,1,1,0,63
0,3,0,1,0,67
0,5,2,1,0,92
0,1,1,0,0,38
1,2,2,0,0,61
0,5,0,1,1,92
0,5,3,1,0,72
1,2,1,0,0,62
1,5,1,1,0,68
0,2,5,1,0,67
1,5,1,1,0,69
0,4,1,0,1,59
1,4,3,1,0,89
0,3,2,1,0,58
1,4,2,0,0,35
1,4,2,0,1,88
1,4,1,1,1,68
0,3,2,1,0,77
0,5,4,1,1,99
0,5,0,1,1,87
0,2,2,0,0,50
1,2,2,1,0,83
0,4,4,0,0,46
1,3,0,1,0,73
1,3,0,1,0,82
1,3,4,0,1,63
1,3,3,1,1,88
0,1,4,1,1,68
1,4,0,0,0,66
0,4,3,1,0,82
1,3,4,1,1,70
0,5,2,1,0,84
1,4,2,1,0,65
0,1,3,1,0,90
1,1,1,1,0,87
0,2,3,1,1,77
1,2,0,1,0,86
0,2,2,1,1,85
1,2,2,1,0,87
0,5,3,1,0,80
1,5,2,0,0,71
0,2,3,1,1,85
0,1,3,1,0,71
1,4,1,1,0,68
0,4,4,1,0,62
1,5,3,1,0,58
0,5,1,0,0,46
0,3,1,1,1,57
0,4,1,1,0,75
1,4,1,1,1,81
1,2,1,1,0,68
0,2,5,0,0,59
1,3,0,1,0,56
0,2,1,1,1,61
0,3,5,1,1,75
0,4,1,1,0,87
0,1,0,0,0,32
0,3,2,0,0,52
1,2,3,1,1,72
1,4,0,1,1,84
1,1,1,1,0,76
1,4,4,0,0,53
